College,Campus_name,Salary
VAS NEURO,Chicago,6825375.48
Honors College,Chicago,6362827.86
VC for Human Resources at UIC,Chicago,6260088.03
UI Cancer Center,Chicago,6171232.77
University Library,Springfield,5638841.5
Div of Specializ Care for Chil,Chicago,4970619.65
OHARE,Chicago,4919537.83
HEMATOPATH,Chicago,4737968.58
Provost Academic Programs,Urbana-Champaign,4720358.41
Vice Chancellor for Student Affairs,Chicago,4589379.7
Office of Public Affairs,Chicago,4323335.24
Medicaid Support Services,Chicago,4231451.31
Online & Continuing Education,Urbana-Champaign,4198024.67
VP for Health Affairs,System Offices,3975366.2
VP Technology & Economic Dev,System Offices,3855811.75
UIC Extended Campus,Chicago,3837459.73
Student Affairs Ancillary Svcs,Chicago,3644037.19
PHARM,Chicago,3614002.73
WOMEN'S G,Urbana-Champaign,3496890.04
"Barsotti, Gina",Chicago,3422498.56
Institute of Aviation,Urbana-Champaign,3378820.56
VP Chief Financial Officer,System Offices,3233014.31
MSA,Urbana-Champaign,3118917.04
University Ethics Office,System Offices,3035790.74
Auxiliary Units,Springfield,2986116
Vice Chancellor for Diversity,Urbana-Champaign,2983621.48
Capital Prgms/Real Estate Svcs,System Offices,2833396.78
ASSOC,Urbana-Champaign,2771025.53
PHD,Chicago,2691386.4
VC for External Affairs,Chicago,2638682.08
Office of Public Engagement,Urbana-Champaign,2483859.24
Services,Urbana-Champaign,2475009.35
Utilities Administration-UIC,Chicago,2464171.3
DSCC,Chicago,2113167
Facilities & Services,Springfield,2084739
Office of the Controller,System Offices,2012293.96
Utilities Administration-UA,System Offices,1977159.54
Univ Ofc Human Resources,System Offices,1747233
ANESTH,Chicago,1615584.8
Community Health,Chicago,1512130.23
Office of Continuing Education,Urbana-Champaign,1213555.76
OPHTHAMOLOGY,Urbana-Champaign,1206214.66
IMAGING,Urbana-Champaign,1093408.27
VC for Public Engagement,Urbana-Champaign,982243
ASSIST,Urbana-Champaign,952612
UIF and Alumni Alliance,System Offices,944462.91
Facilities Scheduling Svcs,Springfield,884852
Administrative Affairs,Springfield,724247
External & Governmentl Relatns,Chicago,703914.45
RAHM,Urbana-Champaign,665397.81
Vice Chancellor for Innovation,Chicago,464200
DERM & OTOLOGY,Urbana-Champaign,423339.1
DERMATOLOGY,Urbana-Champaign,336537.29
Conference Services,Springfield,246051
Ctr Democ in a Multiracial Soc,Urbana-Champaign,238418
ONCOLOGY,Urbana-Champaign,176575.99
UIC Prgrmatic Rsrcs Ctrl Costs,Chicago,166374.24
Armed Forces,Urbana-Champaign,0
